dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c
TRUE,0.12999798,0,1,0,0.4,0,0,1131.354,1183.281,0.1035933
TRUE,0.12999798,0,1,0,0.4,0,0,1131.354,1183.281,0.1035933
TRUE,0.12999798,0,1,0,0.4,0,0,1131.354,1183.281,0.1035933
TRUE,0.155598218,-0.005153114,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.155598218,0,1,0,0.4,0,0,1131.403,1183.285,0.1036642
TRUE,0.197049599,0,1,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,1,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,1,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.197049599,0,2.556936713,0,0.4,0,0,1131.464,1183.29,0.1037597
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.212581512,0,2.556936713,0,0.4,0,0,1131.532,1183.296,0.1038712
TRUE,0.254920939,-0.037832434,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
TRUE,0.254920939,0,2.556936713,0,0.4,0,0,1131.606,1183.302,0.1039918
