actual,proposed
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.5047553777694702,-0.016624905169010162
-0.6584733724594116,-0.02681829035282135
-1.4776839017868042,-0.04042116552591324
-1.5231510400772095,-0.06930868327617645
-1.5581316947937012,-0.09236810356378555
-1.609125018119812,-0.11309266090393066
-1.700819730758667,-0.18310710787773132
-1.7827565670013428,-0.200764998793602
-1.8109647035598755,-0.207147479057312
-1.815612554550171,-0.207147479057312
-1.8437180519104004,-0.21089346706867218
-1.8662023544311523,-0.21941205859184265
-1.8669610023498535,-0.22280648350715637
-1.8949096202850342,-0.2241285890340805
-1.9228581190109253,-0.2288251519203186
-1.9345462322235107,-0.2377205491065979
-1.9625020027160645,-0.2453242838382721
-2.0302822589874268,-0.25177618861198425
-2.03008770942688,-0.2638590335845947
-2.057595729827881,-0.26527121663093567
-2.085103750228882,-0.27250728011131287
-2.1331779956817627,-0.28353145718574524
-2.1331779956817627,-0.28711551427841187
-2.1505322456359863,-0.3006567656993866
-2.1827099323272705,-0.3099362552165985
-2.198798656463623,-0.31689029932022095
-2.272674798965454,-0.33004963397979736
-2.283029794692993,-0.34442776441574097
-2.325504779815674,-0.35003700852394104
-2.3602020740509033,-0.3614742159843445
-2.385394811630249,-0.3688933551311493
-2.385394811630249,-0.3743208944797516
-2.3957433700561523,-0.3851434588432312
-2.461027145385742,-0.4003795087337494
-2.4044275283813477,-0.41743165254592896
-2.3835535049438477,-0.43132758140563965
-2.418503522872925,-0.44012680649757385
-2.3989944458007812,-0.44365179538726807
-2.315530776977539,-0.4480244219303131
-2.284560441970825,-0.4622093439102173
-2.232367753982544,-0.4670167863368988
-2.212392568588257,-0.4826892614364624
-2.0596280097961426,-0.47915831208229065
-2.0317718982696533,-0.48440155386924744
-2.0233428478240967,-0.48804572224617004
-2.05257248878479,-0.4869075417518616
-1.8456403017044067,-0.48782435059547424
-1.7899740934371948,-0.49832502007484436
-1.8286291360855103,-0.5211041569709778
-1.7838815450668335,-0.5143988132476807
-1.7858275175094604,-0.5123932361602783
-1.6953034400939941,-0.5168063640594482
-1.7017688751220703,-0.5268884897232056
-1.7067815065383911,-0.5203626155853271
-1.659228801727295,-0.5334268808364868
-1.6519407033920288,-0.532471239566803
-1.6567994356155396,-0.5346936583518982
-1.5869176387786865,-0.527305006980896
-1.5892378091812134,-0.5321533679962158
-1.5938777923583984,-0.5247437357902527
