actual,proposed
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.5047553777694702,-0.015731094405055046
-0.5334346294403076,-0.018514098599553108
-0.6012148261070251,-0.023208724334836006
-0.6584733724594116,-0.02681829035282135
-0.6928284764289856,-0.030671188607811928
-0.7520512938499451,-0.03622271493077278
-0.8094598054885864,-0.04042116552591324
-0.8439049124717712,-0.0451299250125885
-0.9013134241104126,-0.05139199271798134
-0.9498987197875977,-0.05584429204463959
-0.9498987197875977,-0.05584429204463959
-0.9785101413726807,-0.060991741716861725
-1.0357328653335571,-0.06822650134563446
-1.0955229997634888,-0.07410486042499542
-1.1242015361785889,-0.07962794601917267
-1.1758229732513428,-0.08703195303678513
-1.2197520732879639,-0.09244325011968613
-1.2425510883331299,-0.0981314554810524
-1.293849229812622,-0.10630646347999573
-1.3500326871871948,-0.1133129745721817
-1.3728179931640625,-0.11911464482545853
-1.4183887243270874,-0.12507766485214233
-1.460633635520935,-0.13294078409671783
-1.4776839017868042,-0.13815554976463318
-1.5231510400772095,-0.14672130346298218
-1.5581316947937012,-0.1517459601163864
-1.609125018119812,-0.1641194224357605
-1.6612657308578491,-0.16945494711399078
-1.700819730758667,-0.1813003122806549
-1.7347230911254883,-0.18859948217868805
-1.7489067316055298,-0.1938570737838745
-1.7827565670013428,-0.200764998793602
-1.8109647035598755,-0.207147479057312
-1.8437180519104004,-0.20960770547389984
-1.8437180519104004,-0.21611610054969788
-1.8662023544311523,-0.21941205859184265
-1.8669610023498535,-0.22280648350715637
-1.8949096202850342,-0.2288251519203186
-1.9228581190109253,-0.2288251519203186
-1.9228581190109253,-0.23424208164215088
-1.9345462322235107,-0.2377205491065979
-1.9625020027160645,-0.24393460154533386
-2.0302822589874268,-0.2638590335845947
-2.10052752494812,-0.2893464267253876
-2.1331779956817627,-0.2961083948612213
-2.149503469467163,-0.30293959379196167
-2.198798656463623,-0.32156047224998474
-2.3602020740509033,-0.3743950128555298
-2.4664928913116455,-0.42616239190101624
-2.4364168643951416,-0.4340532720088959
-2.461027145385742,-0.4304576516151428
-2.461027145385742,-0.437410444021225
-2.4211599826812744,-0.4320421814918518
-2.4356002807617188,-0.4346174895763397
-2.4356002807617188,-0.43720299005508423
-2.3856430053710938,-0.4290846288204193
-2.377714157104492,-0.42992880940437317
-2.3755040168762207,-0.43926775455474854
